sa4_name,name,x,y
Parramatta,EASTWOOD PARK,151.0811482019125,-33.788801510664904
Parramatta,RUSSELL WALKER RESERVE,151.00146461607514,-33.789317253616346
Parramatta,,151.08013502084967,-33.79266151675279
Parramatta,WARRAWONG RESERVE,151.0736506487522,-33.79792032551345
Parramatta,LYNN PARK,151.07534325441054,-33.79846191109533
Parramatta,MAZE PARK,151.07450834042257,-33.805502686540414
Parramatta,LIONS PARK,151.08006003757453,-33.805367240770025
Parramatta,SYMONS RESERVE,151.08777816756128,-33.79927422705587
Parramatta,MIRIAM PARK,151.08879376868558,-33.80322336205909
Parramatta,RON PAYNE PARK,151.09655332987154,-33.753584580047935
Parramatta,,151.0925089617488,-33.75904813427428
Parramatta,,151.09915832561785,-33.76121978441778
Parramatta,LUCKNOW PARK,151.0959796801041,-33.76855763485063
Parramatta,,151.083989102439,-33.77203623300557
Parramatta,BELMORE PARK,151.0073444848684,-33.800311825765334
Parramatta,LYNELLE PARK,151.0996314440235,-33.78120667130889
Parramatta,T G MILLNER FIELD,151.0990454325394,-33.776782552474565
Parramatta,WOODS STREET RESERVE,151.09266234459201,-33.77934604503621
Parramatta,IRENE PARK,151.09657822308637,-33.783375075765456
Parramatta,SAINT PATRICKS CEMETERY,151.0057798127813,-33.801774316691215
Parramatta,,151.09912905760757,-33.791426513241824
Parramatta,SHERWIN PARK,151.01162837977844,-33.80248703412324
Parramatta,,151.09678010956497,-33.79857714291459
Parramatta,DAN MAHONEY RESERVE,151.01671968675413,-33.80271123215987
Parramatta,CSIRO,151.09954863462565,-33.80161770702151
Parramatta,BIMBI RESERVE,151.0968430635001,-33.801932271211825
Parramatta,DENISTONE PARK,151.09314669463365,-33.79928787890738
Parramatta,OLD SALEYARDS RESERVE,151.0173700858844,-33.80114145062701
Parramatta,CARARA RESERVE,151.09816784138894,-33.804507720632905
Parramatta,ALL SAINTS CEMETERY,151.01086584934112,-33.80529023134606
Parramatta,ALL SAINTS ANGLICAN CHURCH,151.00884734028762,-33.809483823536496
Parramatta,OUR LADY OF MERCY COLLEGE PARRAMATTA,151.0031055883676,-33.807891686398435
Parramatta,PARRAMATTA PARK,151.0014683000661,-33.80737591652179
Parramatta,NORTH ROCKS WESTFIELD SHOPPING TOWN,151.02843845038396,-33.76897087450621
Parramatta,CAMPBELL HILL PIONEER RESERVE,151.00158254600728,-33.86964425617138
Parramatta,EVERLEY PARK,151.0113400079959,-33.87157178024582
Parramatta,AUBURN GOLF COURSE,151.0156869646389,-33.8672723242525
Parramatta,PROGRESS PARK,151.0168509467868,-33.862741390993456
Parramatta,RAY MARSHALL RESERVE,151.0131211417271,-33.86125801400299
Parramatta,AUBURN BOTANICAL GARDENS,151.01727854576032,-33.858238909088314
Parramatta,,151.01103207719456,-33.84875383533992
Parramatta,,151.01068820120545,-33.84747811747847
Parramatta,COLQUHOUN PARK,151.00728551047004,-33.8481088501283
Parramatta,HARRY GAPES RESERVE,151.0061966732939,-33.85020162594207
Parramatta,HUNTS CREEK RESERVE,151.02279266638405,-33.78189465642439
Parramatta,ERMINGTON POST OFFICE,151.05481669986276,-33.81461216077593
Parramatta,ERMINGTON POLICE STATION,151.05299999643952,-33.81520000122218
Parramatta,BALUDARRI WETLAND,151.0198115604013,-33.81430439179849
Parramatta,ROBIN THOMAS RESERVE,151.0126422327812,-33.81735464574318
Parramatta,JUBILEE PARK,151.0057846088866,-33.8203381090099
Parramatta,,151.03096821042857,-33.77809051372815
Parramatta,SILVERWATER PARK,151.05030624893976,-33.825184072963864
Parramatta,ERIC PRIMROSE RESERVE,151.050499458591,-33.82185945827755
Parramatta,DEAKIN PARK,151.04352593944836,-33.84146157530571
Parramatta,CONCORD GOLF COURSE,151.09733228241058,-33.85039660161032
Parramatta,HENLEY PARK,151.09872461181217,-33.85995096671772
Parramatta,CENTRAL PARK,151.09631458372013,-33.85683001412585
Parramatta,WARBRICK PARK,151.08954785406092,-33.8505811963697
Parramatta,PEGGY WOMERSLEY RESERVE,151.0335829313362,-33.78409894417222
Parramatta,MEADOWBANK POST OFFICE,151.09014753520862,-33.818447336875195
Parramatta,MUTTON RESERVE,151.0862052758893,-33.83746292291958
Parramatta,WALKER RESERVE,151.09631209179352,-33.845153112324304
Parramatta,BICENTENNIAL PARK,151.07799927266842,-33.844140129009105
Parramatta,ROOKWOOD CEMETERY,151.053588006675,-33.868984264904086
Parramatta,LIDCOMBE REMEMBRANCE PARK,151.04386068136765,-33.86553626147443
Parramatta,PHILLIPS PARK,151.0531674262388,-33.85850376806329
Parramatta,COLEMAN PARK,151.04016580999274,-33.87285045650479
Parramatta,CIVIC PARK,151.03155731391388,-33.85976510765744
Parramatta,VILLAGE GREEN,151.02529323118193,-33.78947094054185
Parramatta,URIMBIRRA PARK,151.00601035731412,-33.860866475930266
Parramatta,OATLANDS GOLF COURSE,151.0316085439362,-33.79606567772593
Parramatta,AUBURN POLICE STATION,151.0335330020744,-33.852854999614536
Parramatta,AUSTIN PARK,151.0669344852603,-33.861143955729695
Parramatta,,151.02399441370648,-33.80101834841933
Parramatta,PILGRIM PARK,151.0755428187442,-33.8710315124663
Parramatta,DAVEY SQUARE RESERVE,151.08187648946952,-33.87262714572398
Parramatta,FITZGERALD PARK,151.08270236820243,-33.86979216142632
Parramatta,KEN NEWMAN PARK,151.05715894288008,-33.819090224883524
Parramatta,,151.02330633833486,-33.805303085786704
Parramatta,FRED ROBERTSON PARK,151.03195725106482,-33.80276753481446
Parramatta,,151.03272410150038,-33.80740603537898
Parramatta,,151.03368750511672,-33.80728809623032
Parramatta,STURT PARK,151.0445485141942,-33.79778782838261
