measure_code,parent_description,description,2011,2016,2019,2020,2021,2022,2023,2024,data_points_available
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),59.9,60.9,8046748.0,8110610.0,8097062.0,8166704.0,8341199.0,8479314.0,6
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),59.9,60.9,10.0,10.1,10.1,10.2,10.4,10.6,6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),59.9,60.9,3999452.0,4030710.0,4025393.0,4059763.0,4149032.0,4217861.0,6
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),59.9,60.9,4047296.0,4079900.0,4071669.0,4106941.0,4192167.0,4261453.0,6
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),59.9,60.9,36.8,37.2,37.7,37.7,37.5,37.5,6
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),59.9,60.9,38.6,39.0,39.5,39.6,39.4,39.4,6
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),59.9,60.9,37.7,38.1,38.6,38.7,38.4,38.4,6
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),59.9,60.9,5240576.0,5255515.0,5209700.0,5247219.0,5388091.0,5490199.0,6
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),59.9,60.9,65.1,64.8,64.3,64.3,64.6,64.7,6
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),59.9,60.9,253365.0,250224.0,246488.0,247060.0,246330.0,243455.0,6
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),59.9,60.9,262031.0,261782.0,261143.0,258772.0,256724.0,255976.0,6
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),59.9,60.9,252185.0,257935.0,261630.0,263743.0,265954.0,267114.0,6
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),59.9,60.9,244004.0,241491.0,238716.0,248468.0,259831.0,265979.0,6
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),59.9,60.9,282850.0,276091.0,263020.0,268004.0,287712.0,298284.0,6
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),59.9,60.9,303569.0,299182.0,286918.0,286780.0,303510.0,315585.0,6
