sa4_name,name,x,y
Sutherland,,151.15162671330427,-34.084733193769196
Sutherland,CAPE BAILY LIGHTHOUSE,151.2221845917497,-34.03514455663149
Sutherland,KURNELL POST OFFICE,151.2063196377564,-34.008722759894816
Sutherland,BONNA POINT RESERVE,151.19224127745457,-34.008358777930546
Sutherland,CAPTAIN COOKS LANDING PLACE HISTORIC SITE,151.21747638659835,-34.004827551820256
Sutherland,MARTON PARK,151.21175609453212,-34.01146538785925
Sutherland,CAPTAIN COOK OBELISK,151.21755316291072,-34.004647430065084
Sutherland,SOLANDER MONUMENT,151.2208289863753,-34.00272409138686
Sutherland,ST PAULS ANGLICAN CHURCH,151.0065056533275,-34.033460189220115
Sutherland,HEATHCOTE SPORTS GROUND,151.0054885106942,-34.092179267361175
Sutherland,CHRISTIAN REFORMED CHURCH,151.00923358082548,-34.03607219403735
Sutherland,WORONORA HEIGHTS OVAL,151.02481719953985,-34.03431719883051
Sutherland,HEATHCOTE RAILWAY STATION,151.0080397665253,-34.0881473323322
Sutherland,HOLMLEA PLACE RESERVE,151.00714842396437,-34.05103100589562
Sutherland,GYMEA RAILWAY STATION,151.0854508222047,-34.0348216830771
Sutherland,FOEBES CREEK RESERVE,151.01471698176138,-34.05010291061076
Sutherland,LANTANA ROAD RESERVE,151.01723296434454,-34.052761699306934
Sutherland,KINGSWOOD ROAD OVAL,151.02742686472902,-34.04632804479956
Sutherland,SUTHERLAND RAILWAY STATION,151.05720547471347,-34.0317550246743
Sutherland,,151.02184224252522,-34.05546117467307
Sutherland,,151.00602135628642,-34.05891801689232
Sutherland,AUSTIN STREET RESERVE,151.04263006129364,-34.00059365829422
Sutherland,SYLVANVALE FOUNDATION,151.08443922846493,-34.022898057092426
Sutherland,KAREENA PARK,151.11249311442634,-34.04391923509869
Sutherland,NSW FISHERIES RESEARCH INSTITUTE,151.14863471614706,-34.07282195663244
Sutherland,BELLINGARA NETBALL COURTS,151.10036692978088,-34.02331154772549
Sutherland,SOUTHGATE SHOPPING CENTRE,151.10340813934434,-34.01017523857891
Sutherland,,151.10142749428002,-34.033034588235374
Sutherland,WESTFIELD SHOPPING CENTRE,151.10020742491903,-34.034935901899054
Sutherland,,151.15109921897619,-34.05224460279077
Sutherland,WOOLOOWARE GOLF CLUB,151.1359857335658,-34.04402284062489
Sutherland,FENTON AVENUE TENNIS COURTS,151.13081659206236,-34.035975382812204
Sutherland,CHARLOTTE BREEN MEMORIAL PARK,151.16434614356677,-34.026210686873235
Sutherland,TOYOTA PARK,151.1405795131129,-34.03852391419582
Sutherland,CRONULLA SUTHERLAND LEAGUES CLUB,151.1416651585748,-34.03862548517293
Sutherland,,151.10994737155613,-34.02518306484558
Sutherland,WESLEY VICKERY,151.10578005281718,-34.01899740800794
Sutherland,WANDA SLSC,151.16112088537125,-34.043382202892445
Sutherland,ELOUERA SLSC,151.15890369862132,-34.04622465422423
Sutherland,DUNNINGHAM PARK,151.15522983884085,-34.05129251158038
Sutherland,NORTH CRONULLA SLSC,151.1554653851932,-34.050788521265474
Sutherland,CRONULLA SLSC,151.15459341390317,-34.05601008370811
Sutherland,,151.0136069982435,-34.01844873147031
Sutherland,,151.07010098465312,-33.99910105719483
Sutherland,,151.08891548142338,-34.005597745940996
Sutherland,,151.01223366282025,-34.06452782764919
Sutherland,,151.1172247871662,-34.013107956881775
Sutherland,,151.11961766821605,-34.01568938572805
Sutherland,,151.12618028716798,-34.00984422555945
Sutherland,,151.01067286426863,-34.06508840825535
Sutherland,OIL REFINERY WHARF,151.21064337744082,-34.00333236055613
Sutherland,,151.130556807367,-34.00556575413669
Sutherland,,151.07029634487122,-33.999156965183865
Sutherland,ENGADINE CHURCH OF CHRIST,151.00323456218786,-34.05753304606601
Sutherland,PRESTON PARK OVAL,151.0125263725674,-34.06898569600347
Sutherland,,151.00621794539984,-34.086366144637
Sutherland,HEATHCOTE TOURIST PARK,151.00486642825828,-34.09044462078634
Sutherland,,151.0358863967776,-34.02514018144257
Sutherland,BRIGALOW PLACE RESERVE,151.03183003434927,-34.04524976773348
Sutherland,YARRAWARRAH OVAL,151.0337009870325,-34.05593963635714
Sutherland,PENDLEBURY PARK,151.04421260716,-34.05126526992295
Sutherland,SYDNEY TRAMWAY MUSEUM,151.05188132800947,-34.04509121270825
Sutherland,WORONORA CEMETERY,151.05124443684605,-34.03277305528112
Sutherland,SUTHERLAND FIRE STATION,151.05520244632726,-34.03271657312153
Sutherland,SUTHERLAND POST OFFICE,151.05819199647365,-34.031720907618656
Sutherland,,151.04762602827148,-34.03977122479398
Sutherland,SUTHERLAND OVAL 2,151.05167089855246,-34.028523250472006
Sutherland,BURNUM BURNUM SANCTUARY,151.05187512514243,-34.01927964816473
Sutherland,WORONORA CARAVAN PARK,151.0480404687228,-34.02043945240211
Sutherland,JELBA RESERVE,151.0411252780898,-34.01493534503971
Sutherland,LAKEWOOD CITY RESERVE,151.04756298450488,-34.00761577144999
Sutherland,THE GLEN BUSHLAND RESERVE,151.0579789852585,-34.00930639608982
Sutherland,LIVERPOOL FIRE STATION,150.93140798498183,-33.94465687366619
Sutherland,ST CHRISTOPHER'S CATHOLIC CHURCH,150.95210792066763,-33.95297963350048
Sutherland,MOOREBANK POST OFFICE,150.9493143505769,-33.93253305513515
Sutherland,,150.97232354224448,-33.95950956948047
Sutherland,HOLSWORTHY SEWAGE TREATMENT PLANT,150.9641209265705,-33.9588511023705
Sutherland,MILPERRA POST OFFICE,150.9888382315131,-33.93823494403383
Sutherland,CLINCHS POND PARK,150.93375393983789,-33.93355012603882
Sutherland,CAMERON PARK,150.94665293613912,-33.95553482471462
Sutherland,EAST HILLS PARK,150.98256876158447,-33.964407273153114
Sutherland,KILLARA RESERVE,150.99501744321358,-33.947182242237595
Sutherland,SMITH PARK,150.99057513758973,-33.95818502489273
Sutherland,RIVERLANDS GOLF COURSE,150.97180532571662,-33.94322650939486
Sutherland,NEW BRIGHTON GOLF COURSE,150.96113352788913,-33.94426661790235
Sutherland,BANKSTOWN GOLF COURSE,150.98318699833268,-33.93293234659239
Sutherland,GORDON PARKER RESERVE,150.97542949878036,-33.93212199376426
Sutherland,VALE OF AH RESERVE,150.97133528134592,-33.931552180548884
Sutherland,DEEPWATER PARK,150.97679632590933,-33.94957548133729
Sutherland,HOLSWORTHY WATTLE GROVE AQUATIC EDUCATION CENTRE,150.95070230608135,-33.955159422329
Sutherland,HAMMONDVILLE POST OFFICE,150.9544860199395,-33.948504428931905
Sutherland,MILPERRA SPORTS CENTRE,150.9749297291568,-33.93611206787605
Sutherland,FRANK MOULANG RESERVE,150.98732003825882,-33.9411160029504
Sutherland,VASTA RESERVE,150.97784271858652,-33.942650277962535
Sutherland,CAMMARLIE RESERVE,150.9930087141186,-33.953553730954546
Sutherland,PLEASURE POINT RESERVE,150.98794316004552,-33.966290255707335
Sutherland,SANDY POINT RESERVE,150.99374412801072,-33.98038607825228
Sutherland,FITZPATRICK PARK,151.00111604279542,-33.98043266410604
Sutherland,LIEUTENANT CANTELLO RESERVE,150.96691337646206,-33.9519120770018
Sutherland,KOKODA FIELD,150.96101341055925,-33.95830981250518
Sutherland,JOHN EDMONDSON VC PARK,150.9453502639928,-33.94558701219078
Sutherland,BARDIA PARK,150.94695145439286,-33.95308397368651
Sutherland,NEWLAND RESERVE,150.9787958850019,-33.938480593338014
Sutherland,SATELBERG PARK,150.9509092662447,-33.960515910767114
Sutherland,REMOUNT PARK,150.9542336301756,-33.958558643570846
Sutherland,VASTA PARK,150.95258289589097,-33.94422775886002
Sutherland,PETER PAN PARK,150.9639680997844,-33.953267125701316
Sutherland,,150.96380344937268,-33.96500014161925
Sutherland,,150.94988408279127,-33.965785386634415
Sutherland,,150.94689336752998,-33.97032349057264
